,Financial_Planning,Financial_Goals,Analyze_Financial_Position,Tax_Saving_Schemes,Prompt_Installment_Payments,Profile_Risk,Recommended_Course
3065,5,4,4,5,3,3,"Debt Management, Investment Basics"
3066,3,4,4,3,4,4,"Financial Planning, Understanding Taxes"
3067,3,4,3,4,3,3,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
3068,4,4,4,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3069,5,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3070,3,4,4,2,3,2,"Debt Management, Financial Planning, Investment Basics"
3071,4,3,4,2,3,2,"Budget & Savings, Debt Management, Investment Basics"
3072,3,5,5,3,4,4,"Financial Planning, Understanding Taxes"
3073,3,3,3,1,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3074,5,4,5,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3075,4,3,4,5,2,4,"Budget & Savings, Debt Management"
3076,4,3,4,4,2,4,"Budget & Savings, Debt Management"
3077,3,4,5,2,4,4,"Financial Planning, Understanding Taxes"
3078,3,3,4,4,4,3,"Budget & Savings, Financial Planning, Investment Basics"
3079,4,5,5,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
3080,4,3,4,3,4,4,"Budget & Savings, Understanding Taxes"
3081,3,4,3,4,4,2,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
3082,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3083,5,5,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3084,3,3,4,2,3,2,"Budget & Savings, Debt Management, Financial Planning"
3085,2,3,2,5,3,3,"Budget & Savings, Debt Management, Financial Planning"
3086,3,4,4,4,3,2,"Debt Management, Financial Planning, Investment Basics"
3087,3,5,4,4,3,2,"Debt Management, Financial Planning, Investment Basics"
3088,3,4,4,5,4,2,"Financial Planning, Investment Basics"
3089,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3090,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3091,3,3,3,5,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3092,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3093,4,3,3,5,4,2,"Budget & Savings, Frugal Living and Spending Wisely, Investment Basics"
3094,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3095,2,3,3,2,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3096,5,4,5,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3097,1,1,2,2,3,1,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3098,3,3,4,2,3,2,"Budget & Savings, Debt Management, Financial Planning"
3099,3,3,4,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
3100,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3101,3,4,4,4,5,4,"Debt Management, Investment Basics, Understanding Taxes"
3102,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3103,5,5,5,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3104,2,2,2,2,2,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3106,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3107,4,4,3,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3108,4,3,5,4,3,4,"Budget & Savings, Debt Management"
3109,3,4,3,4,4,4,"Financial Planning, Frugal Living and Spending Wisely"
3110,3,3,4,4,3,1,"Budget & Savings, Debt Management, Financial Planning"
3111,3,2,3,4,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3112,2,3,4,2,3,3,"Budget & Savings, Debt Management, Financial Planning"
3113,4,4,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3114,3,5,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
3115,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3116,3,4,4,4,4,2,"Financial Planning, Investment Basics"
3117,3,3,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
3118,4,3,4,5,3,4,"Budget & Savings, Debt Management"
3119,3,5,5,5,4,3,"Financial Planning, Investment Basics"
3120,2,2,3,4,2,1,"Budget & Savings, Debt Management, Financial Planning"
3121,4,3,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3122,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3123,3,3,4,4,3,4,"Budget & Savings, Debt Management, Financial Planning"
3124,3,2,3,4,3,4,"Budget & Savings, Debt Management, Financial Planning"
3125,4,4,4,2,4,2,"Investment Basics, Understanding Taxes"
3126,2,4,3,5,3,2,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
3127,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3128,4,4,4,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3129,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3130,3,4,5,5,3,4,"Debt Management, Financial Planning"
3131,2,2,4,4,2,1,"Budget & Savings, Debt Management, Financial Planning"
3132,3,4,4,5,3,2,"Debt Management, Financial Planning, Investment Basics"
3133,2,3,3,5,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3134,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3135,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3136,5,5,4,3,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3137,4,3,3,4,4,2,"Budget & Savings, Frugal Living and Spending Wisely, Investment Basics"
3138,3,5,4,4,3,4,"Debt Management, Financial Planning"
3139,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3140,3,5,4,3,4,2,"Financial Planning, Investment Basics, Understanding Taxes"
3141,3,4,4,2,3,4,"Debt Management, Financial Planning, Understanding Taxes"
3142,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3143,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3144,4,4,4,3,3,4,"Debt Management, Understanding Taxes"
3145,3,4,4,4,4,2,"Financial Planning, Investment Basics"
3146,3,2,3,4,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3147,3,3,2,2,3,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3148,4,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3149,3,3,3,4,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3150,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3151,4,3,4,3,4,4,"Budget & Savings, Understanding Taxes"
3152,4,4,4,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3153,3,4,4,2,4,3,"Financial Planning, Investment Basics, Understanding Taxes"
3154,3,3,4,3,3,2,"Budget & Savings, Debt Management, Financial Planning"
3155,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3156,3,4,4,4,4,3,"Financial Planning, Investment Basics"
3157,3,4,4,3,4,3,"Financial Planning, Investment Basics, Understanding Taxes"
3158,4,4,4,3,3,2,"Debt Management, Investment Basics, Understanding Taxes"
3159,3,4,4,3,3,3,"Debt Management, Financial Planning, Investment Basics"
3160,2,2,3,4,2,1,"Budget & Savings, Debt Management, Financial Planning"
3161,4,5,5,2,3,3,"Debt Management, Investment Basics, Understanding Taxes"
3162,3,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
3163,4,4,5,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3164,3,4,4,4,4,2,"Financial Planning, Investment Basics"
3165,3,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3166,3,2,4,5,4,2,"Budget & Savings, Financial Planning, Investment Basics"
3167,4,5,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3168,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3170,4,4,4,4,3,3,"Debt Management, Investment Basics"
3171,3,3,4,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
3172,4,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3173,4,5,3,4,4,3,"Frugal Living and Spending Wisely, Investment Basics"
3174,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3175,3,5,5,4,3,2,"Debt Management, Financial Planning, Investment Basics"
3176,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3177,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3178,5,5,5,2,4,3,"Investment Basics, Understanding Taxes"
3179,4,3,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3180,4,5,5,4,3,3,"Debt Management, Investment Basics"
3181,4,5,3,5,4,3,"Frugal Living and Spending Wisely, Investment Basics"
3182,3,3,3,5,4,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3183,4,4,4,3,3,2,"Debt Management, Investment Basics, Understanding Taxes"
3184,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3185,4,4,4,3,3,2,"Debt Management, Investment Basics, Understanding Taxes"
3186,4,5,5,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
3187,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3188,4,4,4,5,3,3,"Debt Management, Investment Basics"
3189,3,5,4,5,4,3,"Financial Planning, Investment Basics"
3190,4,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3191,4,4,4,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3192,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3193,4,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3194,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3195,4,4,5,4,3,3,"Debt Management, Investment Basics"
3196,3,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3197,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3198,3,3,5,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
3199,4,5,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3200,4,4,4,3,3,4,"Debt Management, Understanding Taxes"
3201,4,5,5,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3202,3,3,3,4,3,4,"Budget & Savings, Debt Management, Financial Planning"
3203,5,5,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3204,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3205,5,5,5,2,4,3,"Investment Basics, Understanding Taxes"
3206,2,2,3,3,2,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3207,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3208,3,4,5,2,3,2,"Debt Management, Financial Planning, Investment Basics"
3209,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3210,4,4,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3211,3,3,3,4,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3212,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3213,4,5,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3214,3,4,5,4,4,3,"Financial Planning, Investment Basics"
3215,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3216,5,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3217,4,4,5,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3218,5,5,5,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3219,4,3,4,2,3,2,"Budget & Savings, Debt Management, Investment Basics"
3220,2,4,4,2,4,4,"Financial Planning, Understanding Taxes"
3221,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3222,4,4,4,3,3,3,"Debt Management, Investment Basics, Understanding Taxes"
3223,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3224,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3225,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3226,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3227,5,5,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3228,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3230,4,5,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3232,3,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3233,2,5,5,4,3,3,"Debt Management, Financial Planning, Investment Basics"
3234,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3235,3,2,4,2,3,5,"Budget & Savings, Debt Management, Financial Planning"
3236,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3237,5,4,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3238,4,5,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3239,4,5,4,2,4,3,"Investment Basics, Understanding Taxes"
3240,3,3,4,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
3241,3,4,4,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3242,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3243,3,4,4,3,4,4,"Financial Planning, Understanding Taxes"
3244,3,3,4,5,5,3,"Budget & Savings, Financial Planning, Investment Basics"
3245,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3246,4,4,4,3,3,4,"Debt Management, Understanding Taxes"
3247,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3248,4,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3249,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3250,3,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3251,3,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3252,4,5,5,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3253,2,3,4,2,4,3,"Budget & Savings, Financial Planning, Investment Basics"
3254,3,3,4,3,3,4,"Budget & Savings, Debt Management, Financial Planning"
3255,3,3,4,5,4,2,"Budget & Savings, Financial Planning, Investment Basics"
3256,3,2,3,4,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3257,2,2,4,2,4,1,"Budget & Savings, Financial Planning, Investment Basics"
3258,3,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
3259,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3260,3,4,4,2,4,4,"Financial Planning, Understanding Taxes"
3261,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3262,3,3,4,4,4,3,"Budget & Savings, Financial Planning, Investment Basics"
3263,4,3,4,2,3,3,"Budget & Savings, Debt Management, Investment Basics"
3264,3,2,4,4,4,1,"Budget & Savings, Financial Planning, Investment Basics"
3265,3,4,4,3,3,2,"Debt Management, Financial Planning, Investment Basics"
3266,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3267,3,3,4,4,4,3,"Budget & Savings, Financial Planning, Investment Basics"
3268,2,4,4,4,4,2,"Financial Planning, Investment Basics"
3269,2,3,3,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
3270,4,4,4,3,5,5,"Debt Management, Investment Basics, Understanding Taxes"
3271,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3272,5,4,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3273,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3274,3,3,4,2,4,3,"Budget & Savings, Financial Planning, Investment Basics"
3275,3,3,4,3,3,2,"Budget & Savings, Debt Management, Financial Planning"
3276,5,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3277,2,2,2,3,3,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3278,5,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3279,4,4,5,2,4,3,"Investment Basics, Understanding Taxes"
3280,4,4,4,5,4,2,"Debt Management, Investment Basics, Understanding Taxes"
3281,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3282,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3283,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3284,2,3,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
3285,4,3,4,4,4,2,"Budget & Savings, Investment Basics"
3286,3,4,4,4,4,3,"Financial Planning, Investment Basics"
3287,4,5,4,2,3,2,"Debt Management, Investment Basics, Understanding Taxes"
3288,4,3,4,2,4,3,"Budget & Savings, Investment Basics, Understanding Taxes"
3289,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3290,3,4,3,3,3,2,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
3291,4,3,4,4,4,3,"Budget & Savings, Investment Basics"
3292,4,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3293,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3294,3,3,5,5,2,4,"Budget & Savings, Debt Management, Financial Planning"
3295,2,2,2,2,2,1,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3296,3,4,3,4,3,2,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
3297,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3298,2,3,4,4,4,3,"Budget & Savings, Financial Planning, Investment Basics"
3299,3,3,4,4,3,4,"Budget & Savings, Debt Management, Financial Planning"
3300,4,3,4,4,4,2,"Budget & Savings, Investment Basics"
3301,3,4,4,3,4,4,"Financial Planning, Understanding Taxes"
3302,3,4,4,5,3,3,"Debt Management, Financial Planning, Investment Basics"
3303,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3304,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3305,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3306,3,4,5,4,5,4,"Debt Management, Investment Basics, Understanding Taxes"
3307,3,2,3,5,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3308,4,3,4,2,2,2,"Budget & Savings, Debt Management, Investment Basics"
3309,4,5,5,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3310,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3311,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3312,2,4,3,2,3,1,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
3313,4,4,5,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3314,3,4,4,4,4,3,"Financial Planning, Investment Basics"
3315,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3316,3,3,4,4,4,4,"Budget & Savings, Financial Planning"
3317,4,4,4,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
3318,2,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
3319,3,2,3,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
3320,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3321,3,4,4,4,3,4,"Debt Management, Financial Planning"
3322,3,4,4,5,3,2,"Debt Management, Financial Planning, Investment Basics"
3323,3,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
3324,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3325,4,5,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3326,4,3,4,4,4,3,"Budget & Savings, Investment Basics"
3327,4,4,4,2,3,3,"Debt Management, Investment Basics, Understanding Taxes"
3328,4,3,3,3,4,4,"Budget & Savings, Frugal Living and Spending Wisely, Understanding Taxes"
3329,4,5,4,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3330,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3331,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3332,4,4,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3333,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3334,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3335,4,5,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3336,3,4,4,3,4,4,"Financial Planning, Understanding Taxes"
3337,4,3,5,2,4,2,"Budget & Savings, Investment Basics, Understanding Taxes"
3339,3,2,3,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
3340,3,3,4,4,2,3,"Budget & Savings, Debt Management, Financial Planning"
3341,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3342,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3343,4,5,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3344,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3345,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3346,3,3,4,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
3347,3,3,3,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
3348,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3349,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3350,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3351,2,2,2,5,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3352,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3353,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3354,4,4,4,3,3,1,"Debt Management, Investment Basics, Understanding Taxes"
3355,4,4,5,2,3,4,"Debt Management, Understanding Taxes"
3356,3,2,3,4,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3357,4,4,4,5,3,2,"Debt Management, Investment Basics"
3358,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3359,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3360,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3361,4,4,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3362,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3363,4,4,4,4,3,3,"Debt Management, Investment Basics"
3364,2,3,4,4,4,4,"Budget & Savings, Financial Planning"
3365,3,3,4,2,3,3,"Budget & Savings, Debt Management, Financial Planning"
3366,3,4,4,2,3,2,"Debt Management, Financial Planning, Investment Basics"
3367,3,4,4,5,4,3,"Financial Planning, Investment Basics"
3368,4,5,4,4,3,5,"Debt Management, Investment Basics, Understanding Taxes"
3369,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3371,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3372,4,3,3,4,4,4,"Budget & Savings, Frugal Living and Spending Wisely"
3373,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3374,4,4,5,5,3,2,"Debt Management, Investment Basics"
3375,5,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3376,4,3,4,3,4,4,"Budget & Savings, Understanding Taxes"
3377,4,4,3,4,4,3,"Frugal Living and Spending Wisely, Investment Basics"
3378,2,3,3,1,3,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3379,3,4,4,4,4,3,"Financial Planning, Investment Basics"
3380,2,4,3,3,3,2,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
3381,4,4,4,2,3,3,"Debt Management, Investment Basics, Understanding Taxes"
3382,3,3,4,5,4,4,"Budget & Savings, Financial Planning"
3383,3,3,3,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
3384,4,4,4,3,4,3,"Investment Basics, Understanding Taxes"
3385,3,4,4,4,4,2,"Financial Planning, Investment Basics"
3386,5,5,5,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3387,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3388,3,4,4,4,4,2,"Financial Planning, Investment Basics"
3390,3,4,3,4,4,3,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
3391,4,3,4,5,4,3,"Budget & Savings, Investment Basics"
3392,4,4,4,2,4,3,"Investment Basics, Understanding Taxes"
3393,4,4,5,2,3,4,"Debt Management, Understanding Taxes"
3394,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3395,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3396,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3397,3,4,4,4,4,3,"Financial Planning, Investment Basics"
3398,3,3,4,4,4,4,"Budget & Savings, Financial Planning"
3399,3,3,5,2,3,4,"Budget & Savings, Debt Management, Financial Planning"
3400,2,1,4,4,2,2,"Budget & Savings, Debt Management, Financial Planning"
3401,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3402,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3403,4,5,4,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3404,2,3,3,5,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3405,4,4,4,4,3,3,"Debt Management, Investment Basics"
3406,3,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3407,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3408,2,3,3,5,2,2,"Budget & Savings, Debt Management, Financial Planning"
3409,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
3410,5,5,4,2,4,2,"Investment Basics, Understanding Taxes"
3411,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3412,4,5,4,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
3413,3,4,5,2,4,2,"Financial Planning, Investment Basics, Understanding Taxes"
3414,4,5,5,5,5,4,"Debt Management, Investment Basics, Understanding Taxes"
3415,3,4,4,4,3,4,"Debt Management, Financial Planning"
3416,3,4,4,2,4,4,"Financial Planning, Understanding Taxes"
3417,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3418,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
3419,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3420,4,4,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
3421,3,3,5,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
3422,5,5,5,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
3423,3,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
3424,3,4,4,1,3,2,"Debt Management, Financial Planning, Investment Basics"
3425,4,3,4,4,3,4,"Budget & Savings, Debt Management"
3426,4,4,4,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3427,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3428,3,2,3,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
3429,3,3,3,2,3,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3430,4,5,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3431,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3432,5,3,4,4,3,4,"Budget & Savings, Debt Management"
3433,4,5,4,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3434,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
3435,2,2,3,2,3,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
3436,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
